sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,style,condition,model,seller_name,product_url,brand,currency_price,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,unit_type,package_size,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,thumb_options
7434,,Default,simple,"",Default Category,base,,,,,,,,,,,,,,,,,,,1,images/7434/image_0.jpg,,,,,,,,$18.99,Use config,Use config,,,,Product Info Column,,18.99,1,,images/7434/image_1.jpg,,,,,1,2,images/7434/image_2.jpg,,,,,4,,,,100,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,images/7434/image_0.jpg,,1,0,,drop_down,Color,1,,,,0,Wine Red,0,7434-Color-Wine Red,0,Wine Red
,,,,Women,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7434/image_1.jpg,,2,0,,drop_down,Size,1,,,,0,S,0,7434-Size-S,0,S
,,,,Women/Jumpsuits,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7434/image_2.jpg,,3,0,,,,1,,,,0,M,0,7434-Size-M,1,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7434/image_3.jpg,,4,0,,,,1,,,,0,L,0,7434-Size-L,2,L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7434/image_4.jpg,,5,0,,,,,,,,,,,,,
7433,,Default,simple,"",Default Category,base,,,,,,,,,,,,,,,,,,,1,images/7433/image_0.jpg,,,,,,,,$26.99,Use config,Use config,,,,Product Info Column,,26.99,1,,images/7433/image_1.jpg,,,,,1,2,images/7433/image_2.jpg,,,,,4,,,,100,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,images/7433/image_0.jpg,,1,0,,drop_down,Color,1,,,,0,White,0,7433-Color-White,0,White
,,,,Women,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7433/image_1.jpg,,2,0,,,,1,,,,0,Red,0,7433-Color-Red,1,Red
,,,,Women/Jumpsuits,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7433/image_2.jpg,,3,0,,,,1,,,,0,Black,0,7433-Color-Black,2,Black
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7433/image_3.jpg,,4,0,,drop_down,Size,1,,,,0,S,0,7433-Size-S,0,S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/7433/image_4.jpg,,5,0,,,,1,,,,0,M,0,7433-Size-M,1,M
